"name","type","brand","model","specs"
"Maxsun MS-H110M","Motherboard","Maxsun","MS-H110M","Socket: LGA 1151, Chipset: Intel H110"
"Gigabyte Z370 Aorus Gaming Wifi","Motherboard","Gigabyte","Z370 Aorus Gaming Wifi","Socket: LGA 1151, Chipset: Intel Z370"
"Asus Prime B350M-K","Motherboard","Asus","Prime B350M-K","Socket: AM4, Chipset: AMD B350"
"Maxsun MS-H110D4L M.2","Motherboard","Maxsun","MS-H110D4L M.2","Socket: LGA 1151, Chipset: Intel H110"
"Asrock Z370M Pro4","Motherboard","Asrock","Z370M Pro4","Socket: LGA 1151, Chipset: Intel Z370"
"Biostar H110MH Pro D4","Motherboard","Biostar","H110MH Pro D4","Socket: LGA 1151, Chipset: Intel H110"
"Asrock Z170 Pro4S","Motherboard","Asrock","Z170 Pro4S","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-B150-HD3","Motherboard","Gigabyte","GA-B150-HD3","Socket: LGA 1151, Chipset: Intel B150"
"MSI B350 Gaming Plus","Motherboard","MSI","B350 Gaming Plus","Socket: AM4, Chipset: AMD B350"
"Asus Sabertooth Z170 Mark 1","Motherboard","Asus","Sabertooth Z170 Mark 1","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock Fatal1ty X370 Gaming X","Motherboard","Asrock","Fatal1ty X370 Gaming X","Socket: AM4, Chipset: AMD X370"
"Asus ROG Strix Z270H Gaming","Motherboard","Asus","ROG Strix Z270H Gaming","Socket: LGA 1151, Chipset: Intel Z270"
"MSI Z270 PC Mate","Motherboard","MSI","Z270 PC Mate","Socket: LGA 1151, Chipset: Intel Z270"
"MSI X370 Gaming Plus","Motherboard","MSI","X370 Gaming Plus","Socket: AM4, Chipset: AMD X370"
"Gigabyte GA-B250-FinTech","Motherboard","Gigabyte","GA-B250-FinTech","Socket: LGA 1151, Chipset: Intel B250"
"Asrock X570 Taichi","Motherboard","Asrock","X570 Taichi","Socket: AM4, Chipset: AMD X570"
